Cum Price Returns,,,
,,,
,DVN,DJUSEN,WTI
12/29/2023,2.28,1.42,1.34
1/2/2024,2.31,1.43,1.32
1/3/2024,2.36,1.45,1.36
1/4/2024,2.30,1.43,1.35
1/5/2024,2.31,1.43,1.38
1/8/2024,2.29,1.42,1.32
1/9/2024,2.25,1.39,1.35
1/10/2024,2.21,1.38,1.33
1/11/2024,2.19,1.38,1.35
1/12/2024,2.15,1.40,1.36
1/16/2024,2.10,1.36,1.35
1/17/2024,2.07,1.35,1.36
1/18/2024,2.07,1.35,1.39
1/19/2024,2.06,1.35,1.37
1/22/2024,2.07,1.36,1.41
1/23/2024,2.08,1.36,1.39
1/24/2024,2.09,1.38,1.40
1/25/2024,2.14,1.41,1.45
1/26/2024,2.14,1.42,1.46
1/29/2024,2.15,1.42,1.44
1/30/2024,2.18,1.43,1.46
1/31/2024,2.11,1.40,1.42
2/1/2024,2.10,1.40,1.38
2/2/2024,2.08,1.40,1.35
2/5/2024,2.05,1.40,1.36
2/6/2024,2.07,1.40,1.37
2/7/2024,2.08,1.41,1.38
2/8/2024,2.13,1.42,1.43
2/9/2024,2.09,1.40,1.44
2/12/2024,2.13,1.42,1.44
2/13/2024,2.11,1.40,1.46
2/14/2024,2.11,1.40,1.43
2/15/2024,2.17,1.43,1.46
2/16/2024,2.19,1.43,1.48
2/20/2024,2.18,1.42,1.46
2/21/2024,2.22,1.45,1.46
2/22/2024,2.21,1.45,1.47
2/23/2024,2.21,1.44,1.43
2/26/2024,2.21,1.44,1.45
2/27/2024,2.23,1.44,1.47
2/28/2024,2.22,1.43,1.47
2/29/2024,2.22,1.44,1.46
3/1/2024,2.23,1.46,1.50
3/4/2024,2.23,1.44,1.47
3/5/2024,2.27,1.45,1.46
3/6/2024,2.29,1.46,1.48
3/7/2024,2.31,1.47,1.48
3/8/2024,2.32,1.48,1.46
3/11/2024,2.35,1.49,1.46
3/12/2024,2.34,1.49,1.45
3/13/2024,2.39,1.51,1.49
3/14/2024,2.43,1.52,1.52
3/15/2024,2.42,1.53,1.52
3/18/2024,2.41,1.53,1.55
3/19/2024,2.46,1.55,1.56
3/20/2024,2.47,1.55,1.53
3/21/2024,2.47,1.56,1.52
3/22/2024,2.46,1.56,1.51
3/25/2024,2.49,1.57,1.53
3/26/2024,2.48,1.56,1.53
3/27/2024,2.51,1.57,1.52
3/28/2024,2.55,1.59,1.56
4/1/2024,2.59,1.60,1.57
4/2/2024,2.62,1.62,1.59
4/3/2024,2.68,1.63,1.60
4/4/2024,2.67,1.63,1.62
4/5/2024,2.71,1.65,1.63
4/8/2024,2.71,1.64,1.62
4/9/2024,2.75,1.64,1.59
4/10/2024,2.77,1.65,1.61
4/11/2024,2.74,1.65,1.59
4/12/2024,2.71,1.62,1.60
4/15/2024,2.68,1.60,1.60
4/16/2024,2.65,1.59,1.60
4/17/2024,2.62,1.59,1.55
4/18/2024,2.61,1.58,1.55
4/19/2024,2.63,1.60,1.55
4/22/2024,2.65,1.61,1.55
4/23/2024,2.67,1.62,1.56
4/24/2024,2.65,1.62,1.55
4/25/2024,2.67,1.63,1.56
4/26/2024,2.68,1.61,1.57
4/29/2024,2.70,1.63,1.55
4/30/2024,2.60,1.58,1.53
5/1/2024,2.56,1.55,1.48
5/2/2024,2.56,1.56,1.48
5/3/2024,2.57,1.56,1.46
5/6/2024,2.58,1.58,1.47
5/7/2024,2.59,1.57,1.47
5/8/2024,2.57,1.57,1.48
5/9/2024,2.58,1.59,1.48
5/10/2024,2.55,1.58,1.46
5/13/2024,2.53,1.58,1.48
5/14/2024,2.53,1.58,1.46
5/15/2024,2.53,1.58,1.47
5/16/2024,2.50,1.57,1.48
5/17/2024,2.52,1.60,1.50
5/20/2024,2.54,1.59,1.49
5/21/2024,2.53,1.58,1.48
5/22/2024,2.48,1.56,1.45
5/23/2024,2.45,1.54,1.44
5/24/2024,2.45,1.54,1.45
5/28/2024,2.48,1.56,1.49
5/29/2024,2.40,1.53,1.48
5/30/2024,2.42,1.54,1.46
5/31/2024,2.49,1.57,1.44
6/3/2024,2.39,1.53,1.39
6/4/2024,2.37,1.52,1.37
